AL, 11, 2019091700, 03, AP09,  18, 281N,  959W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  24, 285N,  956W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  30, 290N,  958W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  36, 293N,  956W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  42, 296N,  957W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  48, 299N,  958W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  54, 301N,  964W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  60, 304N,  966W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  66, 311N,  971W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  72, 316N,  978W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  78, 327N,  990W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  84, 340N,  991W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  90, 348N,  987W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,   0, 274N,  959W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,   6, 273N,  960W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  12, 278N,  958W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  18, 285N,  954W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  24, 291N,  952W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  30, 296N,  956W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  36, 300N,  955W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  42, 303N,  957W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  48, 307N,  958W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  54, 309N,  963W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  60, 313N,  962W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  66, 320N,  965W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  72, 326N,  970W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP10,  78, 339N,  982W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,   0, 275N,  959W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,   6, 274N,  963W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,  12, 278N,  963W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,  18, 283N,  960W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,  24, 291N,  956W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP11,  30, 297N,  957W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
